"Time Inc. Common Stock",17.73,12.56,N/A,N/A,15.09,15.02,+0.07,"+0.07 - +0.46%",N/A,N/A,"+0.46%",N/A,N/A,15.00,15.33,N/A,"8:00pm - <b>15.16</b>",15.16,17.67,N/A,N/A,N/A,"15.00 - 15.33",N/A,24.26,12.23,2.93,-9.10,+23.93%,-37.51%,"12.23 - 24.26",836065,400,100,121346,1246280,-8.32,1.49,1.68,0.43,17.06,404.00M,0.51,0.88,N/A,N/A,2.03,10.17,9.02,5.33,5.04,0.76,"3/15/2016","2/25/2016","4/15/2016",N/A,"8:00pm",-0.63,-3.99%,0.26,+1.74%,14.90,15.79,N/A,N/A,N/A,N/A,N/A,836065,1.59B,N/A,104576000,N/A,"TIME",N/A,"NYQ",104852000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.11B
"Time Warner Cable Inc Common St",205.42,205.41,N/A,N/A,203.89,203.96,+1.55,"+1.55 - +0.76%",N/A,N/A,"+0.76%",N/A,N/A,203.01,205.88,N/A,"8:00pm - <b>205.44</b>",205.44,206.56,N/A,N/A,N/A,"203.01 - 205.88",N/A,206.66,145.77,59.67,-1.22,+40.93%,-0.59%,"145.77 - 206.66",1619154,100,300,127258,2066750,6.44,7.47,8.30,1.82,31.75,7.78B,2.44,6.42,31.90,N/A,2.48,27.50,24.75,4.25,1.47,3.00,"4/22/2016","3/30/2016","4/15/2016",N/A,"8:00pm",16.96,+9.00%,4.85,+2.42%,200.59,188.48,N/A,N/A,N/A,N/A,N/A,1619154,58.19B,N/A,283057000,N/A,"TWC",N/A,"NYQ",283270000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.70B
"Time Warner Inc. New Common Sto",74.69,72.46,N/A,N/A,75.05,74.80,-0.55,"-0.55 - -0.73%",N/A,N/A,"-0.73%",N/A,N/A,74.31,75.02,N/A,"8:00pm - <b>74.50</b>",74.50,82.30,N/A,N/A,N/A,"74.31 - 75.02",N/A,91.34,55.53,18.97,-16.84,+34.16%,-18.44%,"55.53 - 91.34",4202515,100,200,481920,6018160,4.62,5.34,6.05,1.35,29.71,7.90B,2.11,2.53,16.11,N/A,0.97,13.95,12.31,2.36,2.15,1.61,"3/15/2016","2/25/2016","4/15/2016",N/A,"8:00pm",4.79,+6.87%,3.25,+4.55%,71.25,69.71,N/A,N/A,N/A,N/A,N/A,4202515,58.87B,N/A,788874000,N/A,"TWX",N/A,"NYQ",790154000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.12B
"Timken Company (The) Common Sto",37.93,31.97,N/A,N/A,34.63,34.55,+0.32,"+0.32 - +0.92%",N/A,N/A,"+0.92%",N/A,N/A,34.48,35.07,N/A,"8:00pm - <b>34.95</b>",34.95,32.00,N/A,N/A,N/A,"34.48 - 35.07",N/A,41.23,22.22,12.73,-6.28,+57.29%,-15.23%,"22.22 - 41.23",565739,300,100,46982,990490,-0.84,1.94,2.22,0.50,16.50,436.80M,0.96,2.10,N/A,N/A,5.76,18.02,15.74,3.05,3.00,1.04,"3/3/2016","2/19/2016","4/15/2016",N/A,"8:00pm",5.08,+17.02%,2.56,+7.91%,32.39,29.87,N/A,N/A,N/A,N/A,N/A,565739,2.80B,N/A,72423000,N/A,"TKR",N/A,"NYQ",80030000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.87B
"Timken Steel Corporation Common",11.25,10.47,N/A,N/A,10.39,10.29,+0.67,"+0.67 - +6.45%",N/A,N/A,"+6.45%",N/A,N/A,10.27,11.29,N/A,"8:00pm - <b>11.06</b>",11.06,8.67,N/A,N/A,N/A,"10.27 - 11.29",N/A,33.41,3.69,7.37,-22.35,+199.73%,-66.90%,"3.69 - 33.41",518136,100,800,20021,1000360,-1.65,-1.40,-0.48,-0.34,15.50,-30.80M,0.42,0.67,N/A,N/A,-2.55,N/A,N/A,4.50,0.00,0.00,"9/10/2015","8/25/2015","4/15/2016",N/A,"8:00pm",1.94,+21.24%,2.12,+23.67%,8.94,9.12,N/A,N/A,N/A,N/A,N/A,518136,488.76M,N/A,36227000,N/A,"TMST",N/A,"NYQ",44192000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.11B
"Titan International, Inc. (DE) ",5.92,5.91,N/A,N/A,5.82,5.78,+0.10,"+0.10 - +1.72%",N/A,N/A,"+1.72%",N/A,N/A,5.74,5.96,N/A,"8:00pm - <b>5.92</b>",5.92,7.53,N/A,N/A,N/A,"5.74 - 5.96",N/A,12.50,2.50,3.42,-6.58,+136.80%,-52.64%,"2.50 - 12.50",225414,900,2700,16555,520219,-1.74,-0.41,-0.18,0.03,6.40,45.34M,0.23,0.91,N/A,N/A,-0.95,N/A,N/A,6.80,0.34,0.02,"4/15/2016","3/29/2016","4/15/2016",N/A,"8:00pm",1.01,+20.64%,0.37,+6.57%,5.55,4.91,N/A,N/A,N/A,N/A,N/A,225414,319.43M,N/A,43504000,N/A,"TWI",N/A,"NYQ",53957000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.39B
"TJX Companies, Inc. (The) Commo",77.60,77.20,N/A,N/A,76.33,76.42,+0.97,"+0.97 - +1.27%",N/A,N/A,"+1.27%",N/A,N/A,76.33,77.39,N/A,"8:00pm - <b>77.30</b>",77.30,82.75,N/A,N/A,N/A,"76.33 - 77.39",N/A,79.20,63.53,13.77,-1.90,+21.67%,-2.40%,"63.53 - 79.20",2315932,400,200,227297,3274720,3.33,3.46,3.87,0.82,6.38,4.32B,1.66,11.96,23.21,N/A,2.18,22.34,19.97,2.72,1.36,1.04,"3/3/2016","2/9/2016","4/15/2016",N/A,"8:00pm",5.04,+6.97%,0.67,+0.88%,76.63,72.26,N/A,N/A,N/A,N/A,N/A,2315932,52.15B,N/A,670317000,N/A,"TJX",N/A,"NYQ",674676000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.94B
"Toll Brothers Inc. Common Stock",31.00,29.07,N/A,N/A,29.90,29.90,-0.29,"-0.29 - -0.97%",N/A,N/A,"-0.97%",N/A,N/A,29.49,30.05,N/A,"8:00pm - <b>29.61</b>",29.61,35.65,N/A,N/A,N/A,"29.49 - 30.05",N/A,42.19,23.75,5.86,-12.58,+24.67%,-29.82%,"23.75 - 42.19",2030771,600,300,123412,2910310,1.94,2.60,3.04,0.69,23.82,503.28M,1.23,1.26,15.29,N/A,0.65,11.39,9.74,2.93,N/A,N/A,N/A,N/A,"4/15/2016",N/A,"8:00pm",-2.12,-6.67%,0.90,+3.12%,28.71,31.73,N/A,N/A,N/A,N/A,N/A,2030771,5.16B,N/A,159056000,N/A,"TOL",N/A,"NYQ",174205000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.25B
"Tootsie Roll Industries, Inc. C",34.92,34.86,N/A,N/A,34.64,34.64,+0.35,"+0.35 - +1.01%",N/A,N/A,"+1.01%",N/A,N/A,34.51,34.99,N/A,"8:00pm - <b>34.99</b>",34.99,19.00,N/A,N/A,N/A,"34.51 - 34.99",N/A,35.70,28.79,6.20,-0.71,+21.55%,-1.99%,"28.79 - 35.70",54821,200,100,11888,76802,1.08,1.08,1.14,0.00,11.48,112.42M,3.90,3.02,32.52,N/A,0.00,N/A,N/A,51.38,3.90,1.35,"3/29/2016","3/4/2016","4/15/2016",N/A,"8:00pm",3.38,+10.68%,1.04,+3.06%,33.95,31.61,N/A,N/A,N/A,N/A,N/A,54821,2.13B,N/A,22509000,N/A,"TR",N/A,"NYQ",60844000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,540.11M
"TopBuild Corp. Common Stock",31.12,31.10,N/A,N/A,30.77,30.63,+0.35,"+0.35 - +1.14%",N/A,N/A,"+1.14%",N/A,N/A,30.57,31.14,N/A,"8:00pm - <b>31.12</b>",31.12,35.00,N/A,N/A,N/A,"30.57 - 31.14",N/A,36.36,22.75,8.37,-5.24,+36.79%,-14.41%,"22.75 - 36.36",143088,600,200,6847,305516,0.66,1.84,2.34,0.42,22.61,80.78M,0.73,1.36,46.94,N/A,0.00,16.91,13.30,3.82,N/A,N/A,N/A,N/A,"4/15/2016",N/A,"8:00pm",2.36,+8.20%,1.76,+5.98%,29.36,28.76,N/A,N/A,N/A,N/A,N/A,143088,1.17B,N/A,35225000,N/A,"BLD",N/A,"NYQ",37681000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.59B
